,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
14,15,7,15,カポーティスター,牡4,58,高倉稜,3:18.5,大,**,6-6-9-12,39.9,51.0,9,520(+8),,,,[西] 矢作芳人,備前島敏子,
15,16,8,18,ムスカテール,牡5,58,福永祐一,3:19.3,5,**,3-3-5-16,40.8,48.0,7,486(+6),,,,[西] 友道康夫,吉田勝己,
16,17,7,14,コパノジングー,牡8,58,国分恭介,3:19.4,1/2,**,5-5-10-18,40.4,327.3,18,518(+4),,,,[西] 宮徹,小林祥晃,
17,18,1,2,サトノシュレン,牡5,58,幸英明,3:21.3,大,**,1-1-1-14,43.2,123.7,12,478(-2),,,,[西] 村山明,里見治,
0,1,4,7,フェノーメノ,牡5,58,蛯名正義,3:15.1,,**,8-8-7-5,34.3,11.5,4,498(+10),,,,[東] 戸田博文,サンデーレーシング,13578.0
1,2,6,12,ウインバリアシオン,牡6,58,武幸四郎,3:15.1,クビ,**,14-14-14-8,34.1,6.5,3,526(0),,,,[西] 松永昌博,ウイン,5408.0
2,3,3,6,ホッコーブレーヴ,牡6,58,田辺裕信,3:15.1,ハナ,**,10-9-10-10,34.0,101.5,12,478(-2),,,,[東] 松永康利,矢部道晃,3354.0
3,4,7,14,キズナ,牡4,58,武豊,3:15.2,1/2,**,17-17-15-10,34.0,1.7,1,492(-6),,,,[西] 佐々木晶,前田晋二,2000.0
4,5,5,9,タニノエポレット,牡7,58,和田竜二,3:15.4,1.1/2,**,15-14-15-12,34.1,169.4,13,506(-2),,,,[西] 村山明,谷水雄三,1320.0
5,6,5,10,フェイムゲーム,牡4,58,北村宏司,3:15.5,1/2,**,12-13-11-12,34.3,91.7,11,452(0),,,,[東] 宗像義忠,サンデーレーシング,
6,7,4,8,ゴールドシップ,牡5,58,ウィリア,3:15.6,クビ,**,18-18-15-14,34.2,4.3,2,506(-2),,,,[西] 須貝尚介,小林英一,
7,8,2,3,サトノノブレス,牡4,58,浜中俊,3:15.6,アタマ,**,1-1-1-1,35.3,36.9,6,508(-4),,,,[西] 池江泰寿,里見治,
8,9,6,11,ラストインパクト,牡4,58,川田将雅,3:15.7,1/2,**,4-4-3-2,35.2,53.5,7,492(+2),,,,[西] 松田博資,シルク,
9,10,2,4,サイレントメロディ,牡7,58,池添謙一,3:16.1,2.1/2,**,5-5-6-5,35.4,283.1,18,492(-14),,,,[東] 国枝栄,社台レースホース,
10,11,1,2,アドマイヤフライト,牡5,58,福永祐一,3:16.1,クビ,**,6-6-5-3,35.5,58.3,8,534(+4),,,,[西] 橋田満,近藤利一,
11,12,7,13,オーシャンブルー,牡6,58,藤田伸二,3:16.2,クビ,**,16-16-18-18,34.6,179.2,14,444(-2),,,,[西] 池江泰寿,青芝商事,
12,13,7,15,アドマイヤラクティ,牡6,58,四位洋文,3:16.2,クビ,**,12-12-11-14,34.9,88.5,10,492(+8),,,,[西] 梅田智之,近藤利一,
13,14,3,5,レッドカドー,セ8,58,モッセ,3:16.2,アタマ,**,7-7-8-8,35.3,87.2,9,486(0),,,,[外] ダンロッ,Ｒ．Ｊ．アカーリ,
