,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
12,13,4,8,リーチザクラウン,牡3,55,武豊,2:34.6,4,**,1-1-1-8,40.6,12.6,5.0,508(+2),,,,[西] 橋口弘次,臼田浩義,
13,14,6,12,テイエムプリキュア,牝6,55,熊沢重文,2:35.7,7,**,3-2-10-15,41.0,65.0,14.0,504(-2),,,,[西] 五十嵐忠,竹園正繼,
14,15,1,1,アンライバルド,牡3,55,Ｍデムー,2:36.8,7,**,5-5-6-11,42.4,14.9,8.0,474(+4),,,,[西] 友道康夫,サンデーレーシング,
15,中,5,10,スリーロールス,牡3,55,浜中俊,,,**,6-6,,13.5,6.0,498(0),,,,[西] 武宏平,永井商事,
0,1,1,1,ヴィクトワールピサ,牡3,55,Ｍデムー,2:32.6,,**,4-4-2-2,34.6,8.4,2.0,512(+2),,,,[西] 角居勝彦,市川義美,18336.0
1,2,4,7,ブエナビスタ,牝4,55,スミヨン,2:32.6,ハナ,**,11-11-9-8,33.8,1.7,1.0,464(+2),,,,[西] 松田博資,サンデーレーシング,7296.0
2,3,6,11,トゥザグローリー,牡3,55,ウィリア,2:32.6,クビ,**,3-3-3-2,34.4,75.9,14.0,524(-4),,,,[西] 池江泰郎,キャロットファーム,4548.0
3,4,7,14,ペルーサ,牡3,55,安藤勝己,2:32.7,3/4,**,5-5-3-4,34.4,8.9,3.0,510(0),,,,[東] 藤沢和雄,山本英俊,2700.0
4,5,2,4,トーセンジョーダン,牡4,57,三浦皇成,2:32.9,1.1/2,**,1-1-1-1,34.9,20.0,7.0,490(+10),,,,[西] 池江泰寿,島川隆哉,1800.0
5,6,3,5,ルーラーシップ,牡3,55,ルメール,2:33.0,クビ,**,6-5-6-4,34.4,17.6,6.0,492(-4),,,,[西] 角居勝彦,サンデーレーシング,
6,7,5,10,エイシンフラッシュ,牡3,55,内田博幸,2:33.0,アタマ,**,9-9-9-10,34.2,12.6,5.0,488(0),,,,[西] 藤原英昭,平井豊光,
7,8,1,2,ネヴァブション,牡7,57,後藤浩輝,2:33.4,2.1/2,**,8-7-6-4,34.8,59.9,12.0,494(+2),,,,[東] 伊藤正徳,廣崎利洋,
8,9,5,9,ダノンシャンティ,牡3,55,ベリー,2:33.6,1.1/2,**,13-13-14-13,34.3,39.5,10.0,482(+14),,,,[西] 松田国英,ダノックス,
9,10,2,3,フォゲッタブル,牡4,57,岩田康誠,2:33.6,クビ,**,6-7-6-8,35.0,62.3,13.0,484(-4),,,,[西] 池江泰郎,金子真人ホールディングス,
10,11,7,13,オウケンブルースリ,牡5,57,横山典弘,2:33.7,1/2,**,2-2-3-4,35.4,24.9,8.0,492(0),,,,[西] 音無秀孝,福井明,
11,12,4,8,メイショウベルーガ,牝5,55,蛯名正義,2:33.8,クビ,**,11-11-9-10,35.0,38.4,9.0,508(+10),,,,[西] 池添兼雄,松本好雄,
12,13,6,12,ドリームジャーニー,牡6,57,池添謙一,2:33.8,アタマ,**,13-13-13-13,34.7,12.1,4.0,434(+12),,,,[西] 池江泰寿,サンデーレーシング,
13,14,8,15,レッドディザイア,牝4,55,四位洋文,2:34.0,1.1/4,**,15-15-15-15,34.2,47.2,11.0,478(0),,,,[西] 松永幹夫,東京ホースレーシング,
14,15,8,16,ジャミール,牡4,57,福永祐一,2:34.0,アタマ,**,9-9-9-10,35.1,91.8,15.0,456(+4),,,,[西] 松元茂樹,吉田照哉,
15,取,3,6,ローズキングダム,牡3,55,武豊,,,**,,,---,,計不,,,,[西] 橋口弘次,サンデーレーシング,
0,1,6,9,オルフェーヴル,牡3,55,池添謙一,2:36.0,,**,11-10-8-5,33.3,2.2,1.0,462(-4),,,,[西] 池江泰寿,サンデーレーシング,20302.4
1,2,4,5,エイシンフラッシュ,牡4,57,ルメール,2:36.1,3/4,**,5-5-6-5,33.6,26.8,7.0,488(-4),,,,[西] 藤原英昭,平井豊光,8086.4
2,3,5,7,トゥザグローリー,牡4,57,福永祐一,2:36.1,クビ,**,8-7-10-8,33.3,47.1,9.0,536(+12),,,,[西] 池江泰寿,キャロットファーム,5043.2
3,4,8,14,ルーラーシップ,牡4,57,メンディ,2:36.2,3/4,**,11-10-11-11,33.2,52.9,11.0,504(+6),,,,[西] 角居勝彦,サンデーレーシング,3000.0
4,5,6,10,トーセンジョーダン,牡5,57,ウィリア,2:36.3,クビ,**,3-3-3-3,33.9,9.2,3.0,482(+4),,,,[西] 池江泰寿,島川隆哉,2000.0
5,6,3,3,ヒルノダムール,牡4,57,藤田伸二,2:36.4,3/4,**,6-7-8-8,33.7,30.4,8.0,466(0),,,,[西] 昆貢,蛭川正文,
