,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,馬体重,調教師,馬主,rank_0,rank_1,rank_2,rank_3,second,first_half,weight,diff
257,3,7,14,ゴールドシップ,牡5,57,岩田康誠,33.9,3.5,1.0,510(0),[西] 須貝尚介,小林英一ホールディングス,11,10,6,5,155.4,121.5,510,0
258,4,8,15,ジャスタウェイ,牡5,57,福永祐一,33.4,4.6,3.0,504(+6),[西] 須貝尚介,大和屋暁,13,13,13,12,155.5,122.1,504,6
259,5,7,13,エピファネイア,牡4,57,川田将雅,34.6,4.0,2.0,494(+2),[西] 角居勝彦,キャロットファーム,2,2,2,1,155.5,120.9,494,2
260,6,3,5,ラキシス,牝4,55,Ｃ．デム,34.1,36.3,11.0,458(0),[西] 角居勝彦,大島昌也,5,5,5,2,155.5,121.4,458,0
261,7,4,7,ラストインパクト,牡4,57,菱田裕二,33.7,17.6,7.0,484(-2),[西] 松田博資,シルクレーシング,8,9,10,10,155.5,121.8,484,-2
262,8,1,1,トーセンラー,牡6,57,武豊,34.4,22.8,8.0,462(-4),[西] 藤原英昭,島川隆哉,3,3,3,5,155.7,121.29999999999998,462,-4
263,9,6,12,デニムアンドルビー,牝4,55,浜中俊,33.9,118.6,16.0,448(+6),[西] 角居勝彦,金子真人ホールディングス,11,11,10,12,155.7,121.79999999999998,448,6
264,10,5,10,フェノーメノ,牡5,57,田辺裕信,34.2,15.3,6.0,502(+8),[東] 戸田博文,サンデーレーシング,8,7,6,7,155.7,121.49999999999999,502,8
265,11,6,11,サトノノブレス,牡4,57,池添謙一,33.6,81.0,13.0,512(+4),[西] 池江泰寿,里見治,13,13,14,15,155.9,122.30000000000001,512,4
266,12,5,9,ウインバリアシオン,牡6,57,藤岡康太,34.1,34.9,10.0,530(-4),[西] 松永昌博,ウイン,10,11,10,7,155.9,121.80000000000001,530,-4
267,13,2,3,ワンアンドオンリー,牡3,55,横山典弘,34.4,11.8,5.0,492(+4),[西] 橋口弘次,前田幸治,5,5,6,10,156.0,121.6,492,4
268,14,1,2,ヴィルシーナ,牝5,55,内田博幸,35.4,77.7,12.0,458(+4),[西] 友道康夫,佐々木主浩,1,1,1,2,156.1,120.69999999999999,458,4
269,15,4,8,メイショウマンボ,牝4,55,武幸四郎,33.9,86.3,14.0,486(-4),[西] 飯田祐史,松本好雄,16,16,16,16,156.4,122.5,486,-4
270,16,8,16,オーシャンブルー,牡6,57,蛯名正義,34.2,87.1,15.0,432(-4),[西] 池江泰寿,青芝商事,15,15,14,14,156.4,122.2,432,-4
271,1,4,7,ゴールドアクター,牡4,57,吉田隼人,34.8,17.0,8.0,494(+4),[東] 中川公成,居城要,3,3,5,3,153.0,118.2,494,4
272,2,5,9,サウンズオブアース,牡4,57,Ｍ．デム,34.7,9.9,5.0,502(0),[西] 藤岡健一,吉田照哉,3,3,5,6,153.0,118.3,502,0
273,3,6,11,キタサンブラック,牡3,55,横山典弘,35.1,8.4,4.0,526(-4),[西] 清水久詞,大野商事,1,1,1,1,153.1,118.0,526,-4
274,4,8,16,マリアライト,牝4,55,蛯名正義,35.0,41.5,12.0,434(+4),[東] 久保田貴,キャロットファーム,3,3,2,2,153.1,118.1,434,4
275,5,2,4,ラブリーデイ,牡5,57,川田将雅,34.7,4.5,2.0,488(+2),[西] 池江泰寿,金子真人ホールディングス,6,6,8,6,153.2,118.49999999999999,488,2
276,6,5,10,トーセンレーヴ,牡7,57,ボウマン,34.4,86.7,14.0,480(+2),[西] 池江泰寿,島川隆哉,14,14,15,13,153.3,118.9,480,2
277,7,3,5,アドマイヤデウス,牡4,57,岩田康誠,34.9,34.4,11.0,484(+4),[西] 橋田満,近藤利一,6,6,7,10,153.3,118.4,484,4
278,8,8,15,ゴールドシップ,牡6,57,内田博幸,35.2,4.1,1.0,508(-2),[西] 須貝尚介,小林英一ホールディングス,16,16,2,3,153.3,118.10000000000001,508,-2
279,9,4,8,ワンアンドオンリー,牡4,57,浜中俊,34.8,30.4,10.0,498(0),[西] 橋口弘次,前田幸治,11,11,12,13,153.5,118.7,498,0
280,10,7,13,ルージュバック,牝3,53,戸崎圭太,35.0,10.7,6.0,458(+6),[東] 大竹正博,キャロットファーム,10,10,8,5,153.5,118.5,458,6
281,11,3,6,アルバート,牡4,57,アッゼニ,34.9,16.1,7.0,466(0),[東] 堀宣行,林正道,15,15,12,10,153.6,118.69999999999999,466,0
282,12,2,3,ラストインパクト,牡5,57,菱田裕二,35.0,20.6,9.0,496(+2),[西] 松田博資,シルクレーシング,8,9,10,9,153.6,118.6,496,2
283,13,1,2,ヒットザターゲット,牡7,57,小牧太,35.1,55.4,13.0,516(+2),[西] 加藤敬二,前田晋二,8,8,10,13,153.7,118.6,516,2
284,14,7,14,ダービーフィズ,牡5,57,大野拓弥,35.2,138.8,16.0,462(-6),[東] 小島太,社台レースホース,12,12,12,10,153.9,118.7,462,-6
285,15,1,1,オーシャンブルー,牡7,57,石川裕紀,36.4,122.8,15.0,446(+2),[西] 池江泰寿,青芝商事,12,12,16,16,155.4,119.0,446,2
286,16,6,12,リアファル,牡3,55,ルメール,37.4,5.6,3.0,506(0),[西] 音無秀孝,キャロットファーム,2,2,2,6,155.5,118.1,506,0
